epoch,lr-AdamW,step,train_acc,train_loss
0,,809,0.25,1.676953673362732
0,,819,0.4375,1.640756607055664
0,,829,0.53125,1.5285992622375488
0,,839,0.4375,1.6922385692596436
0,,849,0.28125,1.7387280464172363
0,,859,0.59375,1.6359319686889648
0,,869,0.46875,1.9440982341766357
0,,879,0.5,1.4752117395401
0,,889,0.34375,1.6798017024993896
0,,899,0.3125,1.7946929931640625
0,,909,0.4375,1.6819398403167725
0,,919,0.1875,1.7734129428863525
0,,929,0.4375,1.5980805158615112
0,,939,0.3125,1.6906614303588867
0,,949,0.3125,1.601184606552124
0,,959,0.53125,1.36253821849823
0,,969,0.34375,1.6944457292556763
0,,979,0.375,1.4958704710006714
0,,989,0.34375,1.7904655933380127
0,,999,0.375,1.6990715265274048
0,,1009,0.375,1.6370224952697754
0,,1019,0.34375,1.6500911712646484
0,,1029,0.34375,1.7750465869903564
0,,1039,0.4375,1.5394738912582397
0,,1049,0.34375,1.5955545902252197
0,,1059,0.40625,1.5247955322265625
0,,1069,0.5,1.3613330125808716
0,,1079,0.28125,1.7252379655838013
0,,1089,0.46875,1.629817008972168
0,,1099,0.375,1.6990517377853394
0,,1109,0.34375,1.9792251586914062
0,,1119,0.5625,1.2898110151290894
0,,1129,0.46875,1.5086805820465088
0,,1139,0.34375,1.7008540630340576
0,,1149,0.40625,1.464479684829712
0,,1159,0.5,1.5669865608215332
0,,1169,0.4375,1.5891282558441162
0,,1179,0.34375,1.6656396389007568
0,,1189,0.46875,1.6057597398757935
0,,1199,0.4375,1.478743076324463
0,,1209,0.46875,1.5375381708145142
0,,1219,0.4375,1.5230071544647217
0,,1229,0.4375,1.5957849025726318
0,,1239,0.375,1.7180802822113037
0,,1249,0.40625,1.6826930046081543
0,,1259,0.46875,1.4561508893966675
0,,1269,0.4375,1.4755043983459473
0,,1279,0.40625,1.8171782493591309
0,,1289,0.4375,1.5974535942077637
0,,1299,0.40625,1.6454371213912964
0,,1309,0.3125,1.7842504978179932
0,,1319,0.40625,1.4728202819824219
0,,1329,0.25,2.16313099861145
0,,1339,0.4375,1.6116230487823486
0,,1349,0.46875,1.6447246074676514
0,,1359,0.53125,1.5107989311218262
0,,1369,0.46875,1.7505102157592773
0,,1379,0.40625,1.3705894947052002
0,,1389,0.40625,1.4714182615280151
0,,1399,0.5,1.3639497756958008
0,,1409,0.46875,1.5408554077148438
0,,1419,0.3125,1.743437647819519
0,,1429,0.59375,1.2614439725875854
0,,1439,0.40625,1.5466879606246948
0,,1449,0.375,1.534035325050354
0,,1459,0.5,1.526381015777588
0,,1469,0.5,1.2097549438476562
0,,1479,0.46875,1.3850058317184448
0,,1489,0.46875,1.4722864627838135
0,,1499,0.40625,1.6490919589996338
0,,1509,0.46875,1.2275433540344238
0,,1519,0.34375,1.621211290359497
0,,1529,0.71875,1.0966299772262573
0,,1539,0.625,1.45641028881073
0,,1549,0.5625,1.3264062404632568
0,,1559,0.46875,1.4982481002807617
